PubChem CID	KEGG
5280802	C05610
62453	C05627
107	C05629
1826	C05635
171161	C05642
1833	C05659
18986	C05660
1647	C05670
255720	C05831
5280841	C05838
667639	C05901
12473	C05942
131204	C05944
5280877	C05950
5280877	C05950
5280880	C05953
5280881	C05954
5280884	C05957
5280884	C05957
5280885	C05958
5280886	C05959
5280887	C05960
5280888	C05961
5280888	C05961
5280888	C05961
5280892	C05965
5280893	C05966
440864	C05984
10393	C06044
10569	C06087
14490	C06103
196	C06104
13006	C06105
2181	C06180
440936	C06186
6998	C06202
74563	C06255
5280914	C06314
5280914	C06314
62348	C06317
6926	C06333
7489	C06337
6038	C06338
69141	C06343
77093	C06356
637520	C06358
7649	C06359
10243	C06414
71098	C06420
10712	C06422
379	C06423
11005	C06424
11005	C06424
10467	C06425
5280934	C06427
446284	C06428
445580	C06429
5280936	C06438
5280937	C06439
5280937	C06439
16069996	C06474
412	C06524
16553	C06552
7913	C06555
9064	C06562
325	C06576
10820	C06578
7095	C06588
7768	C06593
9395	C06606
8468	C06672
6101	C06677
401	C06682
10241	C06712
9958	C06730
11505	C06757
3657	C07044
11333	C07064
999	C07086
7410	C07113
11476	C07216
10935	C07272
64960	C07326
6082	C07513
904	C07565
10253	C07588
6853	C07715
11983	C07727
78092	C07728
568	C07729
6854	C08060
12511	C08063
92817	C08243
2266	C08261
8215	C08281
11197	C08320
441480	C08352
445638	C08362
5281127	C08367
638278	C08650
92794	C09099
72276	C09727
442439	C09806
2331	C09815
6989	C09908
5281607	C10028
10680	C10043
1018	C10164
5281701	C10192
5281708	C10208
5281804	C10521
5984	C10906
8370	C11042
1531	C11260
995	C11422
10229	C11430
91	C11457
13017	C11519
328	C11527
5460194	C11544
5281969	C11695
5281969	C11695
316542	C11735
228491	C11825
443586	C12026
94391	C12078
72277	C12136
122121	C12144
3246323	C12147
5282106	C12272
36143	C12323
3485	C12518
637541	C12621
5282260	C13802
5282272	C13828
5282273	C13829
5282280	C13856
5311211	C14717
5311211	C14717
5283159	C14732
5283159	C14732
5283157	C14748
5283157	C14748
9839084	C14766
9839084	C14766
5283203	C14769
5283204	C14770
5283142	C14772
5283142	C14772
5283144	C14773
5283144	C14773
5283146	C14774
5283146	C14774
5283147	C14775
5283147	C14775
5283154	C14776
11954043	C14782
5283162	C14807
9966640	C14828
9966640	C14828
9966640	C14828
10236635	C14829
10236635	C14829
9858729	C14833
9858729	C14833
5282965	C14835
2724480	C15025
7504	C15562
6112	C16241
424	C16433
1182	C16436
236	C16438
857	C16439
4671	C16512
5497182	C16513
5282768	C16526
5282768	C16526
13849	C16537
13849	C16537
5778	C16614
169019	C16884
8181	C16995
6251	D00062
5780	D00096
444305	D00103
86472	D01735
8221	D01924
24699	D01947
452110	D03585
68570	D07121
7172	D07148
5280933	D07213
439280	D07339
10635	D07456
2355	D07521
247	D07523
239	D07561
9750	D07706
222786	D07749
